Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	3	Paragraph count, number of paragraphs
2	DESSC	READNS	6	Sentence count, number of sentences
3	DESWC	READNW	28	Word count, number of words
4	DESPL	READAPL	2	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.732	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	5.333	Sentence length, number of words, mean
7	DESSLd	n/a	3.204	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.5	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.923	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.179	Word length, number of letters, mean
11	DESWLltd	n/a	3.056	Word length, number of letters, standard deviation
12	PCNARz	n/a	0.073	Text Easability PC Narrativity, z score
13	PCNARp	n/a	52.790	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.162	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	56.360	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.553	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	29.120	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-3.225	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	0.060	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.061	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	52.390	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.164	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	56.360	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	1.502	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	93.320	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	0.251	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	59.870	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	-0.003	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.058	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.049	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.087	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0	LSA given/new, sentences, mean
45	LSAGNd	n/a	0	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.056	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.069	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	1	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.969	Lexical diversity, VOCD, all words
50	CNCAll	CONi	286.720	All connectives incidence
51	CNCCaus	CONCAUSi	0	Causal connectives incidence
52	CNCLogic	CONLOGi	35.714	Logical connectives incidence
53	CNCADC	CONADVCONi	35.714	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	35.714	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	0	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	0	Additive connectives incidence
57	CNCPos	n/a	71.429	Positive connectives incidence
58	CNCNeg	n/a	0	Negative connectives incidence
59	SMCAUSv	CAUSV	35.714	Causal verb incidence
60	SMCAUSvp	CAUSVP	35.714	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	0	Intentional verbs incidence
62	SMCAUSr	CAUSC	0	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	1	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.002	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.056	WordNet verb overlap
66	SMTEMP	TEMPta	0.900	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	0.833	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.333	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.684	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	1	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	1	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.260	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.156	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	535.714	Noun phrase density, incidence
75	DRVP	n/a	214.286	Verb phrase density, incidence
76	DRAP	n/a	35.714	Adverbial phrase density, incidence
77	DRPP	n/a	142.857	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	0	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	0	Negation density, incidence
80	DRGERUND	GERUNDi	35.714	Gerund density, incidence
81	DRINF	INFi	35.714	Infinitive density, incidence
82	WRDNOUN	NOUNi	250	Noun incidence
83	WRDVERB	VERBi	71.428	Verb incidence
84	WRDADJ	ADJi	107.143	Adjective incidence
85	WRDADV	ADVi	71.429	Adverb incidence
86	WRDPRO	DENPRPi	71.429	Pronoun incidence
87	WRDPRP1s	n/a	0	First person singular pronoun incidence
88	WRDPRP1p	n/a	0	First person plural pronoun incidence
89	WRDPRP2	PRO2i	35.714	Second person pronoun incidence
90	WRDPRP3s	n/a	0	Third person singular pronoun incidence
91	WRDPRP3p	n/a	0	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.476	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	3.129	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	1.465	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	279.5	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	597.300	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	363.900	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	420.100	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	452.875	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	3.469	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	6.762	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	0.823	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.582	Hypernymy for nouns and verbs, mean
104	RDFRE	READFRE	75.198	Flesch Reading Ease
105	RDFKGL	READFKGL	3.930	Flesch-Kincaid Grade level
106	RDL2	L2	25.891	Coh-Metrix L2 Readability
