Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	19	Paragraph count, number of paragraphs
2	DESSC	READNS	24	Sentence count, number of sentences
3	DESWC	READNW	534	Word count, number of words
4	DESPL	READAPL	1.263	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.452	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	22.625	Sentence length, number of words, mean
7	DESSLd	n/a	15.926	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.948	Word length, number of syllables, mean
9	DESWLsyd	n/a	1.143	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.693	Word length, number of letters, mean
11	DESWLltd	n/a	3.152	Word length, number of letters, standard deviation
12	PCNARz	n/a	-1.105	Text Easability PC Narrativity, z score
13	PCNARp	n/a	13.570	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-0.462	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	32.280	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	0.168	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	56.360	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-1.608	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	5.480	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	-0.586	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	28.100	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-1.822	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	3.440	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.367	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	8.690	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.328	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	9.340	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.435	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.478	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.522	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.324	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.373	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.459	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.065	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.081	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.054	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.085	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.174	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.059	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.214	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.182	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.228	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.113	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.254	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.217	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.314	Lexical diversity, type-token ratio, content word lemmas
